type,count
commercial,20004
residential,16948
park,16783
retail,3388
garden,3383
university,2771
forest,2247
attraction,2036
train_station,1249
railway,1245
parking,1085
school,658
brownfield,608
construction,580
military,546
nature_reserve,545
grass,386
apartments,374
fuel,254
mall,213
golf_course,211
research_institute,170
zoo,147
industrial,96
bus_station,80
transportation,76
college,62
hotel,55
airfield,53
office,48
pitch,45
marketplace,33
tunnel,30
hospital,28
kindergarten,27
government,26
sports_centre,24
roof,21
historic_area,20
department_store,16
place_of_worship,14
bicycle_parking,11
electronics,9
supermarket,9
hostel,7
fitness_centre,6
house,5
meadow,4
stadium,4
civic_admin,2
yes,2
police,1
wall,1
monument,1
grandstand,1
water_works,1
