type,count
university,65777
commercial,12962
residential,4266
park,3954
attraction,3091
retail,1628
construction,1610
parking,843
railway,634
research_institute,624
hospital,582
apartments,493
garden,492
school,468
grass,341
train_station,308
place_of_worship,209
forest,190
college,185
sports_centre,149
library,144
brownfield,131
stadium,116
historic_area,111
military,97
office,87
yes,84
mall,73
museum,66
industrial,65
nature_reserve,47
bus_station,45
restaurant,42
zoo,34
golf_course,34
hotel,33
fuel,27
public_building,25
transportation,23
pitch,22
dormitory,16
supermarket,14
government,12
governmental,12
police,12
pharmacy,11
recreation_ground,9
electronics,8
greenfield,8
toilets,8
meadow,7
bicycle_parking,7
flowerbed,7
house,7
ticket,6
garages,6
community_centre,4
grandstand,4
kindergarten,2
religious,2
theatre,2
nursing_home,1
orchard,1
marketplace,1
works,1
ruins,1
