type,count
university,20093
commercial,4497
industrial,4487
residential,4396
park,2163
research,1774
train_station,1006
mall,838
hospital,692
parking,686
school,525
research_institute,394
retail,339
construction,253
apartments,202
wastewater_plant,98
brownfield,83
railway,67
forest,58
grass,54
attraction,54
warehouse,43
transportation,41
college,38
military,28
golf_course,28
bicycle_parking,27
garden,21
fuel,20
office,16
hotel,14
courthouse,14
house,14
library,10
fire_station,9
garages,7
bank,6
bus_station,3
theatre,3
yes,2
meadow,2
pitch,1
police,1
stadium,1
