type,count
university,108091
commercial,10914
park,7723
railway,3159
research_institute,2884
residential,2589
parking,1577
retail,1336
train_station,1210
apartments,960
police,575
forest,547
construction,539
hotel,414
school,374
department_store,294
mall,263
brownfield,210
bicycle_parking,199
electronics,173
hospital,166
bus_station,157
fuel,148
office,134
military,127
sports_centre,119
transportation,116
attraction,113
grass,94
industrial,92
supermarket,53
meadow,51
ruins,39
college,36
garages,25
golf_course,15
historic_area,14
museum,12
house,12
grave_yard,9
pitch,6
hostel,4
roof,4
garden,4
library,4
fire_station,3
tunnel,1
bungalow,1
place_of_worship,1
toilets,1
gasometer,1
tea,1
