type,count
park,19665
commercial,14119
attraction,8987
train_station,6652
nature_reserve,4648
parking,3524
residential,3171
garden,3165
university,3121
retail,2700
sports_centre,2108
construction,1293
bicycle_parking,1071
forest,1008
airfield,750
railway,642
industrial,598
police,299
research_institute,276
fuel,269
grass,246
bus_station,233
school,222
mall,207
citywalls,180
apartments,161
library,137
zoo,124
office,119
brownfield,111
hotel,111
golf_course,108
tunnel,98
museum,84
civic_admin,71
transportation,68
college,64
social_facility,55
supermarket,54
electronics,51
recreation_ground,47
hospital,45
driver_training,42
pitch,42
place_of_worship,41
farmland,40
meadow,34
marketplace,31
house,31
orchard,20
military,16
car,11
stadium,10
yes,8
research,8
governmental,7
historic_area,6
grave_yard,6
restaurant,6
toilets,5
fountain,2
bungalow,2
kindergarten,2
city_gate,2
roof,2
wall,2
wastewater_plant,1
warehouse,1
public,1
hostel,1
farmyard,1
ruins,1
water_works,1
flowerbed,1
kiosk,1
theatre,1
