type,count
university,277588
commercial,11706
driving_school,2673
park,2513
train_station,2275
residential,1965
mall,1620
parking,1351
forest,1287
railway,1114
attraction,740
hospital,648
research_institute,572
retail,569
construction,521
brownfield,400
industrial,335
school,313
bicycle_parking,253
transportation,163
garden,159
apartments,122
zoo,107
college,100
driver_training,76
grass,69
meadow,55
military,53
hotel,34
office,31
police,25
pitch,23
fuel,14
restaurant,13
kindergarten,11
golf_course,10
place_of_worship,6
yes,6
supermarket,5
dentist,2
bus_station,2
library,2
