type,count
university,114915
commercial,16619
residential,4420
park,4192
construction,2351
attraction,1883
retail,893
parking,851
research_institute,596
apartments,576
garden,515
school,475
grass,469
train_station,415
railway,303
industrial,239
hospital,227
military,182
forest,136
library,133
mall,114
hotel,114
restaurant,100
brownfield,80
house,73
college,70
sports_centre,40
museum,37
office,35
bicycle_parking,32
zoo,26
government,26
electronics,26
garages,21
meadow,19
pitch,17
stadium,13
transportation,13
community_centre,10
kindergarten,10
department_store,10
religious,8
yes,7
golf_course,7
dormitory,5
warehouse,5
fire_station,5
landfill,5
fuel,4
garage,3
marketplace,3
books,3
supermarket,2
place_of_worship,2
monument,2
grandstand,2
cafe,2
tomb,1
police,1
tea,1
roof,1
toilets,1
ticket,1
