type,count
park,12810
university,6832
residential,5490
research_institute,4120
commercial,1410
hospital,667
parking,440
attraction,235
school,212
train_station,201
retail,170
college,159
telecommunication,111
forest,102
military,76
construction,56
brownfield,51
industrial,44
airfield,44
golf_course,33
hotel,29
mall,27
stadium,25
garden,24
railway,22
grass,21
police,17
fuel,17
electronics,16
government,15
apartments,14
place_of_worship,11
greenfield,10
bicycle_parking,8
transportation,8
garages,6
dormitory,5
public_building,4
house,4
office,4
bank,2
clinic,2
toilets,1
flowerbed,1
