type,count
commercial,2147
residential,1937
park,1795
construction,950
train_station,635
university,623
apartments,467
bus_station,301
military,258
retail,158
historic_area,144
grass,125
hotel,90
parking,77
school,74
department_store,71
mall,69
fuel,52
sports_centre,36
supermarket,33
transportation,31
electronics,27
forest,26
golf_course,25
railway,19
research_institute,14
pitch,14
brownfield,13
fire_station,12
college,10
bicycle_parking,9
house,8
kindergarten,8
office,6
tea,4
place_of_worship,2
theatre,2
industrial,1
stadium,1
