type,count
university,53647
commercial,8380
park,6450
railway,2929
residential,2773
attraction,1352
research_institute,1216
parking,1075
train_station,1018
retail,818
place_of_worship,812
hospital,423
construction,422
forest,397
department_store,304
hotel,303
apartments,282
school,210
bicycle_parking,155
brownfield,147
college,137
bus_station,127
police,121
mall,118
electronics,112
industrial,90
grass,85
fuel,78
transportation,77
office,67
sports_centre,61
military,59
supermarket,53
meadow,50
ruins,39
golf_course,24
grave_yard,9
zoo,8
house,7
garden,6
fire_station,6
pitch,5
music_school,5
library,4
garages,4
museum,3
toilets,2
stadium,2
gasometer,1
tea,1
tunnel,1
